# ordinal	sha	result	oss_commit	detail
1	aeeb38bc0d73c1130308c3a22821e7e74b589846	conflict	-	app/src/components/workflow/TaskRunner.tsx
2	9f07ea790cffcbaf5663e6c6597914b4efb244b1	applied	0b8c3398cda55c42841c93356f3c0f14a53ee5c7	oss-paths-only
3	deb331ccca1c7601060a0605ff655f17a4732d53	conflict	-	llm/llm-server/agents/agent_code2.go
4	17e82cb31d4f5aa816b1b2e0e4a31200b429e601	applied	2e545741f3cbb8caf9558b1b2439ab28a29d8081	oss-paths-only
5	a84bff5f60ceed58247a172435c88f74de6dd0db	applied	26a678473f368a93597832708b96190febae293b	oss-paths-only
6	c56b4901605080087dd4b08ea525782d42707261	applied	d88d36d078db7ea5bb1f6f2d2d461d65a17cbc4e	oss-paths-only
7	5c39c17c936bde6bc4250d0c95f3d99f2e7d83af	empty	-	already present or EE-only after boundary strip
8	c583210d603e60c7bbef7211f69b72edbe5b5690	empty	-	already present or EE-only after boundary strip
9	381e6548db48fe09bf380978699fd1f71566d3d9	applied	ec5a583c6aaa75ebeaf073eef3349f0224259ca7	oss-paths-only
14	79a19e7b85b60790bf67df07a42b3af1d1f468e3	applied	fedc28b8f0fa61012a2ce65872049634463ed4f8	oss-paths-only
16	0c39cbb68fc85b25680ea914a1faa52538815d1f	applied	a8f081d21d395f2c012ad6eda5f16104ea0fa8cf	oss-paths-only
20	8c16a70051fc83daa83cd5cca9039a9f7e6babc2	applied	08dda8c69086c19bdddbbbf77044577df0138387	oss-paths-only
22	722c1d53b6802b03bd6dcb63b02038bbbd820ae6	applied	7ec4bcfd4ae9c139921c114ae8f2b31e4e151499	oss-paths-only
24	f0b25b58d2017b9ef33268dd2bf9880725e683af	applied	2b4410be331248628a7d4eb8206db5a9731d93ba	oss-paths-only
25	75afe8f08e6ba118e5bdfaa3f94768ff5fa5f6e6	applied	3ad111472b9f973904bb6e6244a7884cdf2a77f1	oss-paths-only
26	83cdbc6400f7775f8071dbf897d8cb043e58f858	conflict	-	app/src/components/common/icons/IconTextBadge.tsx
27	2f70761490d8154af7a6da2a248dea6c031631ec	applied	850aaefcd257a6906b79a4a26b9f83e0b0ac32c6	oss-paths-only
28	5b507a94588419775486483da3a76342166056f5	applied	19108ee1c36de3b9c677fa1782e679c8b6e0631a	oss-paths-only
30	239a45fb7599f217fa982a093d14ebf7f9f6ac6b	applied	3fc3b4bfd02a321598c1e49d51a4079f1d9d6338	oss-paths-only
32	74a0266752ec9f84b81e8614b8a8998f8bdd4b73	applied	b4f7ec8b15e8b64aa9bf1d4f52cff6fe1dbef5c9	oss-paths-only
33	d7b4f9dc4a52809dc598a02c4b4a443e77bc3d9c	applied	adde4ad7b6dd4edbaa8bc6337e827a81cbda2131	oss-paths-only
34	d4ac0b0ba5cf808413d4394ae0d3b8a53d465d4e	applied	eb785ff5c2954723842f8382544cdb0b902e2615	oss-paths-only
35	be7485aad931806230e1cea0a93062f193c4a27b	applied	fcb2e5bb06bd4e9142b6ccd9b22cfe093e151845	oss-paths-only
36	226d344f3690a6d176a5eda4d90470d4e9491625	applied	3d6b15d580624aab21e9da9c11f7d4e295d21df7	oss-paths-only
37	03aefe3147cdcc69a13684c5ef167306fb609d03	applied	b66b8cc9bc428a2154fed543a0658b88b40c62ed	oss-paths-only
40	a3579e41142d653cea5aa383b886b713f9502d89	applied	39115ef5d85a4e6e77b4c970215c492dd845b552	oss-paths-only
41	f3f3ecf6226ece97dad8c05a4feb96bc69a3eb06	conflict	-	api-server/migrations/migrations/app/atlas.sum
42	573cda98d6767e09716c6dfbdee28b91c212b75b	applied	4c81bbdaf9b11ac99bac583df5418fc3a51b0799	oss-paths-only
43	e29481fdb7f1cb8dd0ec07ea41a0bb8fc9f36b64	applied	9a4d4b49352db6815183f4d6852f8fa73173e0f9	oss-paths-only
44	685dcbac2a653d372a0e087034382590d7ebda48	conflict	-	api-server/migrations/run-migrations.sh
45	f8bf02b8dbeb431ec54032371e1d4827f49be868	conflict	-	llm/llm-server/agents/core/memory_rerank.go,llm/llm-server/agents/core/memory_rerank_e2e_test.go,llm/llm-server/agents/core/memory_rerank_test.go,llm/llm-server/config/config.go,llm/llm-server/ee/memory/compose.go,llm/llm-server/ee/memory/compose_patterns_rag.go,llm/llm-server/ee/memory/compose_patterns_rag_test.go,llm/llm-server/ee/memory/rerank.go,llm/llm-server/ee/memory/rerank_test.go,llm/llm-server/ee/memory/stores/patterns/patterns_dao.go
46	86dddd6dda4a01b92c53a7e896dcd806bc4d1934	conflict	-	.github/workflows/oss-boundary.yaml,.oss-exclude
47	28b32b23a4085a37c4d3d4bc369f2c292d43a12c	applied	345317490f7abd13598a79b476ad76745227356c	oss-paths-only
48	8e08f56b1155de3a79018c5d9c890d2cb186d2aa	applied	0975f428cfc59c6313765922acebbb2b087f9a90	oss-paths-only
50	3a3a714148aaf9efd96b4849c03c1e9c0d306044	conflict	-	app/__tests__/components/common/header/Header1.test.jsx,app/src/components/common/header/Header1.jsx,app/src/pages/home/index.jsx
51	d1eac8818142d8d853c252a758dd740cc4133941	conflict	-	api-server/services/observability/elasticsearch_saas.go
52	64e74667b0392caa2d5ffa484a5b14d5bd299cc6	applied	80c2b94b4121e9fafa36ea1b6c6cc040788f31d5	oss-paths-only
53	8945f8aa6085c72607dbfdaffd36f4a451c56d20	applied	a73d97ba4ee167b36a02ab8d43cfeddb16f0f466	oss-paths-only
54	a3a721162e1f046da4761d2cebcebf7555755018	conflict	-	llm/llm-server/agents/core/llm_common.go,llm/llm-server/config/config.go
55	72793f2c304ae0b311ac04af53e32a19f8b91166	conflict	-	app/src/components/k8s/details/KubernetesPodDebugger.jsx
56	8318f0e7462ac84b85658c0f7cb3bdb9a24de537	applied	fed6e877c4ca87b097ae91f034ba2645f9f2ac05	oss-paths-only
57	8bbc791fb99573303d90c04f7ac1972e5e6d69a3	conflict	-	llm/gateway/go.sum
58	05018827179a162c6bab7baf0ca95069e1ac8d41	applied	b4ecb885783c57262d3b5f9ba0d67ef99d6993bc	oss-paths-only
59	5a33a0dba3a2237f2f51bfa0795577cbd9920b0c	applied	30de47c90d8e1f5e9e4893968ea753fedb255a9d	touches-ee-path
61	5ae074c29053423345bb0a7cd056a2b7558e2c56	conflict	-	api-server/migrations/migrations/app/atlas.sum
62	f57217cef0cb5ff4160b6ff972585696f9921c74	conflict	-	app/src/components/common/navigation/GlobalPageSearch.jsx,app/src/components/common/tour/tours.ts
63	6be1cbc377b06a6a2f7d3aba8469554db590a2be	conflict	-	api-server/migrations/migrations/app/atlas.sum
64	fbfe461fe7bd094485033439a67d3733bae61397	conflict	-	api-server/migrations/migrations/app/atlas.sum
65	4c6d7e6a260788d9a39569561de6f284311bc477	applied	104294a40eb1d3f329ffc06fcb630d6ae0d785e6	oss-paths-only
67	f8051040ed67f8765dba7f3acf7e5fa1a8916d0b	applied	bf5ad73e96e98ce0037619e7113e8bfc7c73b57f	oss-paths-only
68	536bbb8aed7701d90c85074e23bda2ab97c51125	applied	9273814444e18e2670094d3412d999159850387c	oss-paths-only
70	67d3342bdb029b78e7cc49372e84183418d2d0d6	conflict	-	api-server/migrations/migrations/app/atlas.sum
73	9d5aa6fe1cd1b2209e14daa00178aff7b5609396	conflict	-	llm/llm-server/agents/agent_k8s_orchestrator.go
74	cffbe90695b0ce45216eea06152ce9f7c47ea76e	conflict	-	llm/llm-server/agents/agent_resource_search.go,llm/llm-server/config/config.go
76	825c4c9973a781765cdb19b6d703cf5fb197af62	applied	e8b23ab1d08f4c49430250319071a23a072a0165	oss-paths-only
